epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6253,1.05932,2.11972,1.29888,0.83079,0.64446,0.7848,0.64425,1.0593,3.0525,1.11953,0.0001625,0.0001625,0.0001625
2,121.122,1.09372,1.46242,1.22444,0.72214,0.624,0.69647,0.51037,1.317,2.57099,1.17966,0.000329147,0.000329147,0.000329147
3,180.141,1.13685,1.31603,1.21446,0.60076,0.65866,0.67651,0.40991,1.71692,3.07508,1.59751,0.000487131,0.000487131,0.000487131
4,239.304,1.12389,1.25191,1.22069,0.65126,0.71476,0.70613,0.43644,1.68077,2.69397,1.66182,0.000636453,0.000636453,0.000636453
5,297.294,1.12265,1.23865,1.24757,0.6655,0.63433,0.70928,0.41396,1.83852,2.09498,1.78961,0.000777113,0.000777113,0.000777113
6,355.143,1.19268,1.30525,1.27173,0.53811,0.56289,0.46085,0.24117,2.04053,3.91315,1.82451,0.000909109,0.000909109,0.000909109
7,409.459,1.16389,1.4482,1.25854,0.50602,0.73558,0.65016,0.35314,1.82601,2.6526,1.72501,0.00103244,0.00103244,0.00103244
8,465.925,1.26089,1.36592,1.28104,0.43886,0.74732,0.60426,0.32395,2.012,2.20818,1.81891,0.00103344,0.00103344,0.00103344
9,523.44,1.28066,1.28172,1.31196,0.15727,0.63788,0.15987,0.08435,2.009,7.06343,1.83829,0.0010025,0.0010025,0.0010025
10,578.121,1.25349,1.29355,1.32026,0.10038,0.46548,0.10677,0.05723,1.6171,26.7002,1.76011,0.000971562,0.000971562,0.000971562
11,632.543,1.22519,1.21603,1.30124,0.10933,0.47,0.11265,0.05885,1.81746,20.1179,1.90968,0.000940625,0.000940625,0.000940625
12,683.994,1.21046,1.20277,1.26201,0.13334,0.5869,0.16782,0.09345,1.72159,5.52896,1.87079,0.000909688,0.000909688,0.000909688
13,739.373,1.17504,1.10273,1.27102,0.26072,0.7231,0.26205,0.16046,1.56977,2.66055,1.6051,0.00087875,0.00087875,0.00087875
14,797.207,1.15684,1.1113,1.27378,0.30344,0.61405,0.37856,0.22311,1.62633,2.77051,1.623,0.000847813,0.000847813,0.000847813
15,851.978,1.1004,1.04853,1.22458,0.20503,0.69169,0.24723,0.16556,1.67759,6.39204,1.52839,0.000816875,0.000816875,0.000816875
16,902.383,1.071,1.08846,1.21166,0.12956,0.74169,0.12157,0.06696,1.61752,3.78788,1.39882,0.000785938,0.000785938,0.000785938
17,952.577,1.12486,1.06946,1.22735,0.58053,0.53613,0.53317,0.33299,1.48703,1.36979,1.37719,0.000755,0.000755,0.000755
18,1003.48,1.13787,1.04101,1.23371,0.57798,0.71157,0.6251,0.37749,1.60836,1.28741,1.56872,0.000724062,0.000724062,0.000724062
19,1053.72,1.08368,0.94637,1.21716,0.64631,0.70262,0.65405,0.40449,1.44393,1.18023,1.43469,0.000693125,0.000693125,0.000693125
20,1104.47,1.04051,0.92973,1.14365,0.74817,0.72691,0.7386,0.46744,1.46382,1.20843,1.47779,0.000662188,0.000662188,0.000662188
21,1156.54,1.12246,1.09172,1.22108,0.68436,0.82595,0.76623,0.47461,1.44379,1.11662,1.39393,0.00063125,0.00063125,0.00063125
22,1208.7,1.00649,0.96245,1.14496,0.72834,0.74963,0.81055,0.52376,1.46666,0.98801,1.37353,0.000600313,0.000600313,0.000600313
23,1310.47,0.99151,0.9344,1.13506,0.70908,0.82524,0.82775,0.5402,1.50069,0.93116,1.4602,0.000569375,0.000569375,0.000569375
24,1366.64,0.98508,0.96069,1.17181,0.73395,0.80986,0.79435,0.53461,1.48574,0.93047,1.49148,0.000538438,0.000538438,0.000538438
25,1423.76,0.91959,0.84575,1.10798,0.70651,0.78645,0.78145,0.50263,1.64963,0.97862,1.55636,0.0005075,0.0005075,0.0005075
26,1480.29,0.95022,0.87545,1.11012,0.74654,0.79918,0.81843,0.5133,1.61697,0.97087,1.5906,0.000476562,0.000476562,0.000476562
